Company, Quarter, Days Receivable, Current Ratio, Cash to TA, Working Capital To TA, Asset Turnover, Gross Profit Margin,Operating Profit Margin, Net Profit Margin, Debt to asset, Debt to equity, Equity multiplier,Time interest earned coverage, Operating return on asset, Return on asset, Return on Equity, EBITDA to TA, Cashflow to expenditure,Cashflow to debt, Result
NV5 Global Inc,2017-06,112.29,2.35,0.0636,0.2394,0.27,0.49,0.0820,0.0119,0.2702,0.5240,1.94,-1.62,0.0224,0.0033,0.0063,0.0369,-4.28,0.0516,1
NV5 Global Inc,2017-09,77.21,2.54,0.0509,0.2605,0.30,0.51,0.0982,0.0110,0.2546,0.4720,1.85,-1.52,0.0293,0.0033,0.0061,0.0487,-1.18,0.0152,1
NV5 Global Inc,2017-12,70.04,2.33,0.0613,0.2451,0.31,0.48,0.0875,0.0106,0.2242,0.3807,1.70,-0.70,0.0269,0.0033,0.0056,0.0638,-11.95,0.1744,1
NV5 Global Inc,2018-06,67.76,2.48,0.0504,0.2636,0.33,0.49,0.0899,0.0096,0.1979,0.3182,1.61,-1.18,0.0294,0.0031,0.0051,0.0523,-2.41,0.1147,1
Office Depot Inc.,2014-09,28.93,1.49,0.1423,0.1973,0.60,0.24,0.0120,0.0010,0.2292,0.8740,3.81,-1.69,0.0072,0.0006,0.0022,0.0115,8.21,0.1268,1
Office Depot Inc.,2014-12,29.68,1.46,0.1565,0.1936,0.56,0.23,-0.0159,0.0008,0.1935,0.8168,4.22,0.73,-0.0089,0.0004,0.0019,-0.0034,3.67,0.0914,1
Office Depot Inc.,2015-03,27.88,1.52,0.1416,0.2092,0.59,0.24,0.0227,0.0010,0.2358,0.9519,4.04,-1.96,0.0134,0.0006,0.0025,0.0203,-1.70,-0.0298,1
Office Depot Inc.,2015-06,30.66,1.54,0.1363,0.2149,0.54,0.24,-0.0148,0.0015,0.2415,0.9703,4.02,0.88,-0.0080,0.0008,0.0032,-0.0011,-2.02,-0.0579,1
Office Depot Inc.,2015-09,30.02,1.52,0.1483,0.2126,0.57,0.25,0.0138,0.0016,0.2358,0.9639,4.09,-8.50,0.0079,0.0009,0.0038,0.0088,2.60,0.0886,1
Office Depot Inc.,2015-12,24.27,1.48,0.1335,0.2044,0.43,0.24,0.0300,0.0025,0.2018,0.8110,4.02,-5.53,0.0129,0.0011,0.0044,0.0152,42.00,0.0969,1
Office Depot Inc.,2016-03,34.61,1.60,0.1457,0.2289,0.48,0.25,0.0431,0.0024,0.2443,0.8874,3.63,-2.70,0.0206,0.0012,0.0042,0.0282,-6.04,-0.0943,1
Office Depot Inc.,2016-06,36.76,1.68,0.1811,0.2521,0.42,0.24,0.0302,0.0031,0.2368,0.7860,3.32,-0.37,0.0126,0.0013,0.0043,0.0467,26.09,0.1963,1
Office Depot Inc.,2016-09,22.79,1.46,0.1362,0.1833,0.48,0.26,0.0554,0.0021,0.2025,0.6441,3.18,-0.81,0.0267,0.0010,0.0032,0.0595,7.15,0.1562,1
Office Depot Inc.,2017-03,23.14,1.58,0.1369,0.1983,0.49,0.25,0.0538,0.0019,0.2158,0.6003,2.78,-0.91,0.0265,0.0009,0.0026,0.0408,4.64,0.0870,1
Office Depot Inc.,2017-09,23.81,1.52,0.1460,0.1805,0.49,0.24,0.0496,0.0004,0.1970,0.5206,2.64,-0.67,0.0241,0.0002,0.0005,0.0285,3.57,0.2653,1
Office Depot Inc.,2018-03,29.96,1.39,0.1153,0.1286,0.44,0.24,0.0332,0.0028,0.2787,0.8189,2.94,-2.29,0.0147,0.0013,0.0037,0.0211,6.03,0.1218,1
Omega Healthcare Investors,2014-09,112.02,1.30,0.0084,0.0117,0.03,1.00,0.7058,0.0230,0.5966,1.6364,2.74,-1.49,0.0239,0.0008,0.0021,0.0398,-3.09,0.0403,1
Omega Healthcare Investors,2014-12,115.26,1.42,0.0086,0.0153,0.03,1.00,0.6874,0.0305,0.6065,1.6973,2.80,-1.58,0.0230,0.0010,0.0029,0.0375,-0.84,0.0328,1
Omega Healthcare Investors,2015-03,119.31,4.53,0.1583,0.1534,0.03,1.00,0.6442,-0.0525,0.5714,1.4836,2.60,-2.00,0.0187,-0.0015,-0.0040,0.0281,-17.22,0.0393,1
Omega Healthcare Investors,2015-06,86.05,0.87,0.0060,-0.0046,0.03,1.00,0.3756,-0.0101,0.4413,0.9295,2.11,-1.79,0.0095,-0.0003,-0.0005,0.0148,-8.98,0.0260,0
Omega Healthcare Investors,2015-09,88.61,0.89,0.0045,-0.0035,0.02,1.00,0.6242,-0.0050,0.4940,1.1476,2.32,-1.59,0.0147,-0.0001,-0.0003,0.0239,-0.31,0.0306,0
Omega Healthcare Investors,2016-03,88.05,0.70,0.0025,-0.0115,0.02,1.00,0.6335,0.0188,0.4897,1.1425,2.33,-2.43,0.0157,0.0005,0.0011,0.0221,-0.30,0.0301,1
One Liberty Properties,2014-06,106.98,0.73,0.0338,-0.0244,0.03,1.00,0.5528,0.0170,0.5370,1.2856,2.39,-1.94,0.0145,0.0004,0.0011,0.0228,-0.32,0.0291,1
One Liberty Properties,2014-12,75.76,1.09,0.0372,0.0046,0.03,1.00,0.4758,0.5063,0.5171,1.2007,2.32,-0.60,0.0123,0.0131,0.0303,0.0315,-0.35,0.0275,1
One Liberty Properties,2015-03,102.36,0.90,0.0392,-0.0076,0.02,1.00,0.4872,0.3575,0.5332,1.3004,2.44,-0.89,0.0120,0.0088,0.0214,0.0238,-0.20,0.0190,1
One Liberty Properties,2015-06,102.02,0.75,0.0294,-0.0189,0.03,1.00,0.5017,-0.0188,0.5324,1.2915,2.43,-2.17,0.0127,-0.0005,-0.0012,0.0187,-8.12,0.0244,0
One Liberty Properties,2015-12,66.07,0.71,0.0214,-0.0172,0.03,1.00,0.5188,0.0519,0.5395,1.3390,2.48,-1.93,0.0148,0.0015,0.0037,0.0235,-11.17,0.0320,1
One Liberty Properties,2016-06,66.36,0.97,0.0522,-0.0020,0.03,1.00,0.4555,0.5184,0.5526,1.4255,2.58,-0.64,0.0115,0.0131,0.0338,0.0300,-1.55,0.0165,1
One Liberty Properties,2016-09,96.73,0.78,0.0250,-0.0144,0.02,1.00,0.4644,0.0304,0.5669,1.5376,2.71,-1.86,0.0113,0.0007,0.0020,0.0166,-0.14,0.0245,1
One Liberty Properties,2016-12,65.39,1.74,0.0246,0.0185,0.03,1.00,0.4345,0.0573,0.5508,1.3923,2.53,-2.05,0.0112,0.0015,0.0038,0.0183,-8.93,0.0221,1
One Liberty Properties,2017-06,66.84,0.64,0.0200,-0.0211,0.02,1.00,0.4159,0.3729,0.5601,1.4435,2.58,-0.90,0.0102,0.0091,0.0235,0.0252,-1.04,0.0247,1
One Liberty Properties,2017-09,65.08,1.14,0.0210,0.0050,0.03,1.00,0.4423,0.1769,0.5461,1.3647,2.50,-1.27,0.0115,0.0046,0.0115,0.0218,-0.55,0.0245,1
One Liberty Properties,2018-03,66.19,1.21,0.0185,0.0064,0.03,1.00,0.4390,0.1218,0.5459,1.3710,2.51,-1.54,0.0114,0.0032,0.0080,0.0198,-0.36,0.0243,1
ORBCOMM Inc.,2014-12,70.84,7.74,0.1808,0.4342,0.06,0.40,-0.1106,-0.0848,0.2989,0.4908,1.64,0.53,-0.0064,-0.0049,-0.0081,0.0010,-0.67,-0.0177,1
ORBCOMM Inc.,2015-03,57.14,3.34,0.1523,0.1750,0.08,0.49,-0.0302,0.0061,0.2832,0.4890,1.73,0.35,-0.0024,0.0005,0.0008,0.0024,0.25,0.0321,1
ORBCOMM Inc.,2015-06,60.28,3.04,0.1255,0.1568,0.09,0.49,-0.2577,0.0064,0.2909,0.5077,1.75,0.98,-0.0224,0.0006,0.0010,0.0238,0.28,0.0168,1
ORBCOMM Inc.,2015-09,67.29,3.24,0.1135,0.1585,0.09,0.48,0.0693,0.0001,0.2935,0.5070,1.73,-1.89,0.0062,0.0000,0.0000,0.0058,0.10,0.0255,1
ORBCOMM Inc.,2015-12,59.64,1.85,0.0518,0.0739,0.09,0.52,0.0706,-0.0136,0.2826,0.4936,1.75,-12.55,0.0061,-0.0012,-0.0020,0.0046,1.49,0.1008,1
ORBCOMM Inc.,2016-06,68.54,1.70,0.0295,0.0643,0.10,0.47,-0.0209,-0.0075,0.2861,0.5059,1.77,0.24,-0.0020,-0.0007,-0.0013,0.0012,0.71,0.0283,1
ORBCOMM Inc.,2017-06,70.22,2.76,0.1334,0.1723,0.09,0.46,-0.0112,-0.0909,0.3886,0.8522,2.19,0.09,-0.0010,-0.0082,-0.0180,-0.0066,-0.39,-0.0112,1
ORBCOMM Inc.,2017-12,55.56,2.08,0.0585,0.1248,0.13,0.36,-0.0442,-0.0071,0.4119,0.9978,2.42,0.40,-0.0056,-0.0009,-0.0022,0.0041,0.36,0.0088,1
ORBCOMM Inc.,2018-03,64.23,2.01,0.0477,0.1230,0.11,0.43,-0.0533,-0.0044,0.4169,1.0342,2.48,0.40,-0.0061,-0.0005,-0.0012,0.0063,-0.20,-0.0048,1
ORBCOMM Inc.,2018-06,68.31,2.53,0.0654,0.1585,0.12,0.47,-0.0097,0.0016,0.4135,0.9468,2.29,0.14,-0.0012,0.0002,0.0004,0.0019,-2.27,-0.0459,1
ORBCOMM Inc.,2018-09,74.26,2.80,0.0772,0.1738,0.12,0.47,0.0405,0.0053,0.4157,0.9515,2.29,0.91,0.0048,0.0006,0.0014,0.0057,0.50,0.0469,1
OUTFRONT Media Inc.,2014-09,46.97,2.61,0.0773,0.0783,0.10,1.00,0.1415,-0.0782,0.4537,1.0199,2.25,-0.19,0.0135,-0.0075,-0.0168,0.0062,4.79,0.0749,1
OUTFRONT Media Inc.,2014-12,49.56,1.17,0.0071,0.0090,0.10,1.00,0.1278,-0.0691,0.5464,1.5208,2.78,-1.83,0.0126,-0.0068,-0.0189,0.0059,3.73,0.0356,1
OUTFRONT Media Inc.,2015-03,52.60,1.34,0.0138,0.0161,0.08,1.00,0.0773,-0.0805,0.5673,1.6583,2.92,-24.55,0.0066,-0.0068,-0.0200,-0.0002,0.45,0.0025,1
OUTFRONT Media Inc.,2015-06,52.50,1.64,0.0170,0.0282,0.10,1.00,0.1419,-0.0754,0.5712,1.6797,2.94,-2.48,0.0136,-0.0072,-0.0212,0.0065,4.55,0.0297,1
OUTFRONT Media Inc.,2015-09,52.85,1.63,0.0265,0.0322,0.10,1.00,0.1363,-0.0758,0.5739,1.7254,3.01,-2.64,0.0131,-0.0073,-0.0220,0.0067,6.82,0.0444,1
OUTFRONT Media Inc.,2016-03,48.82,1.15,0.0114,0.0080,0.09,1.00,0.0743,-0.0875,0.5926,1.9239,3.25,19.57,0.0068,-0.0080,-0.0261,0.0038,2.11,0.0150,1
