Company, Quarter, Days Receivable, Current Ratio, Cash to TA, Working Capital To TA, Asset Turnover, Gross Profit Margin,Operating Profit Margin, Net Profit Margin, Debt to asset, Debt to equity, Equity multiplier,Time interest earned coverage, Operating return on asset, Return on asset, Return on Equity, EBITDA to TA, Cashflow to expenditure,Cashflow to debt, Result
HolyFrontier Corp,2014-09,11.68,2.18,0.0841,0.2069,0.52,0.08,0.0569,0.0329,0.1021,0.1740,1.70,27.42,0.0297,0.0172,0.0293,0.0377,0.77,0.0813,1
HolyFrontier Corp,2015-03,15.77,2.32,0.0641,0.1666,0.32,0.17,0.1293,0.0755,0.1163,0.1915,1.65,38.27,0.0420,0.0245,0.0403,0.0506,1.43,0.2292,1
HolyFrontier Corp,2015-06,15.22,2.03,0.0255,0.1399,0.40,0.19,0.1593,0.0975,0.1020,0.1665,1.63,55.86,0.0645,0.0395,0.0644,0.0741,2.24,0.3462,1
HolyFrontier Corp,2015-09,13.11,2.11,0.0264,0.1340,0.40,0.12,0.0900,0.0547,0.1083,0.1748,1.61,29.06,0.0356,0.0216,0.0349,0.0452,2.12,0.3392,1
HolyFrontier Corp,2015-12,10.76,1.68,0.0079,0.0700,0.35,0.14,0.0295,-0.0149,0.1203,0.1920,1.60,7.45,0.0104,-0.0052,-0.0084,0.0211,0.42,0.0818,1
HolyFrontier Corp,2016-03,19.21,1.69,0.0129,0.0714,0.23,0.15,0.0136,0.0105,0.1522,0.2572,1.69,1.93,0.0032,0.0025,0.0042,0.0134,0.04,0.0051,1
HolyFrontier Corp,2016-09,12.52,2.10,0.0426,0.1238,0.33,0.15,0.0439,0.0262,0.1938,0.3573,1.84,6.40,0.0145,0.0087,0.0160,0.0251,1.37,0.0804,1
HolyFrontier Corp,2016-12,14.59,2.63,0.0753,0.1874,0.31,0.11,0.0050,0.0180,0.2369,0.4775,2.02,0.56,0.0016,0.0056,0.0114,0.0114,1.76,0.0728,1
HolyFrontier Corp,2017-03,17.56,1.90,0.0136,0.1076,0.32,0.11,-0.0070,-0.0148,0.2339,0.4858,2.08,-0.80,-0.0023,-0.0048,-0.0099,0.0078,-0.66,-0.0176,1
HolyFrontier Corp,2017-06,15.67,1.88,0.0477,0.1113,0.36,0.17,0.0648,0.0167,0.2310,0.4829,2.09,7.56,0.0232,0.0060,0.0125,0.0341,6.63,0.2302,1
HolyFrontier Corp,2017-09,17.29,2.00,0.0622,0.1376,0.37,0.20,0.0907,0.0731,0.2204,0.4612,2.09,11.74,0.0332,0.0268,0.0561,0.0434,5.57,0.1395,1
HolyFrontier Corp,2017-12,16.25,2.15,0.0590,0.1534,0.37,0.18,0.0688,0.1305,0.2337,0.4653,1.99,8.57,0.0257,0.0487,0.0970,0.0356,2.10,0.0664,1
HolyFrontier Corp,2018-03,18.37,2.25,0.0716,0.1675,0.38,0.16,0.0707,0.0649,0.2184,0.4269,1.96,8.92,0.0268,0.0246,0.0480,0.0363,4.80,0.1401,1
HolyFrontier Corp,2018-06,16.61,2.38,0.0869,0.1903,0.40,0.17,0.0895,0.0773,0.2117,0.4088,1.93,12.38,0.0355,0.0306,0.0592,0.0452,4.93,0.1652,1
HolyFrontier Corp,2018-09,15.99,2.50,0.0936,0.2016,0.42,0.19,0.1093,0.0718,0.2096,0.4007,1.91,16.09,0.0454,0.0298,0.0570,0.0548,6.74,0.1668,1
Andeavor Logistics LC,2015-06,66.11,0.98,0.0027,-0.0008,0.06,0.62,0.3964,0.2400,0.5377,1.7171,3.19,2.72,0.0227,0.0137,0.0438,0.0318,0.90,0.0271,1
Andeavor Logistics LC,2015-09,67.66,0.87,0.0023,-0.0072,0.06,0.62,0.3972,0.2624,0.5296,1.3643,2.58,2.80,0.0231,0.0153,0.0393,0.0322,1.92,0.0553,1
Andeavor Logistics LC,2015-12,69.04,1.02,0.0031,0.0012,0.06,0.64,0.3801,0.2329,0.5543,13.8732,25.03,2.78,0.0216,0.0133,0.3317,0.0322,0.60,0.0309,1
Andeavor Logistics LC,2016-03,71.40,1.10,0.0008,0.0048,0.06,0.63,0.4000,0.3067,0.5886,1.6633,2.83,3.00,0.0250,0.0192,0.0542,0.0346,1.77,0.0553,1
Andeavor Logistics LC,2016-06,63.28,5.18,0.1251,0.1349,0.05,0.63,0.4027,0.2833,0.5905,1.6010,2.71,2.95,0.0217,0.0152,0.0413,0.0301,1.54,0.0267,1
Andeavor Logistics LC,2016-09,62.82,3.29,0.0934,0.0972,0.06,0.65,0.4188,0.2857,0.6343,2.0289,3.20,3.22,0.0243,0.0165,0.0529,0.0331,3.07,0.0510,1
Andeavor Logistics LC,2016-12,64.89,4.42,0.1174,0.1239,0.05,0.62,0.3887,0.2382,0.6916,2.6284,3.80,3.10,0.0212,0.0130,0.0493,0.0299,1.40,0.0207,1
Andeavor Logistics LC,2017-03,50.36,1.21,0.0060,0.0087,0.07,0.42,0.3571,0.2190,0.6411,2.0859,3.25,2.42,0.0255,0.0157,0.0510,0.0354,4.22,0.0550,1
Andeavor Logistics LC,2017-06,32.32,1.19,0.0034,0.0069,0.10,0.28,0.2356,0.3624,0.6470,2.1142,3.27,2.27,0.0245,0.0377,0.1231,0.0358,2.71,0.0294,1
Andeavor Logistics LC,2017-09,53.31,1.01,0.0027,0.0007,0.08,0.54,0.3423,0.2185,0.6421,2.1502,3.35,3.80,0.0259,0.0165,0.0554,0.0351,4.79,0.0534,1
Andeavor Logistics LC,2017-12,18.73,1.07,0.0092,0.0038,0.24,0.20,0.1105,0.0258,0.5052,1.1744,2.32,5.35,0.0262,0.0061,0.0142,0.0389,2.50,0.0460,1
Andeavor Logistics LC,2018-03,61.23,0.93,0.0033,-0.0038,0.07,0.41,0.3551,0.2598,0.5115,1.2083,2.36,3.52,0.0234,0.0171,0.0405,0.0333,2.84,0.0554,1
Andeavor Logistics LC,2018-06,63.18,0.92,0.0053,-0.0051,0.07,0.41,0.3645,0.5314,0.5230,1.2923,2.47,3.50,0.0243,0.0354,0.0875,0.0342,3.55,0.0528,1
Phillips 66 Partners LLP,2016-03,19.11,1.50,0.0075,0.0081,0.07,0.72,0.4413,0.2905,0.4858,2.8177,5.80,7.90,0.0295,0.0194,0.1125,0.0380,1.14,0.0852,1
Phillips 66 Partners LLP,2016-06,18.57,1.36,0.0129,0.0079,0.07,0.69,0.4339,0.3598,0.4844,1.0002,2.06,7.45,0.0296,0.0245,0.0506,0.0379,1.71,0.0983,1
Phillips 66 Partners LLP,2016-09,19.71,0.67,0.0066,-0.0121,0.07,0.71,0.4709,0.4392,0.3789,0.6581,1.74,8.90,0.0309,0.0288,0.0500,0.0396,0.87,0.1173,1
Phillips 66 Partners LLP,2016-12,36.98,0.90,0.0005,-0.0027,0.05,0.73,0.4901,0.4851,0.5831,1.5300,2.62,4.71,0.0241,0.0239,0.0626,0.0302,0.46,0.0505,1
Phillips 66 Partners LLP,2017-03,29.45,0.85,0.0002,-0.0039,0.05,0.54,0.4182,0.4409,0.5714,1.4478,2.53,3.83,0.0223,0.0235,0.0596,0.0291,2.50,0.0658,1
Phillips 66 Partners LLP,2017-06,30.13,0.71,0.0002,-0.0094,0.05,0.53,0.4141,0.4537,0.5343,1.2575,2.35,3.92,0.0226,0.0247,0.0582,0.0293,1.08,0.0611,1
Phillips 66 Partners LLP,2017-09,27.04,0.64,0.0005,-0.0114,0.06,0.49,0.3906,0.4249,0.5388,1.2806,2.38,3.79,0.0216,0.0235,0.0558,0.0292,1.63,0.0858,1
Phillips 66 Partners LLP,2017-12,29.10,1.71,0.0347,0.0227,0.05,1.02,0.4887,0.6090,0.5474,1.3512,2.47,4.48,0.0244,0.0304,0.0750,0.0296,1.93,0.0815,1
Phillips 66 Partners LLP,2018-03,31.99,1.52,0.0310,0.0180,0.05,0.51,0.4102,0.7070,0.5423,1.3075,2.41,3.50,0.0195,0.0336,0.0810,0.0247,2.31,0.0585,1
Phillips 66 Partners LLP,2018-06,31.54,1.25,0.0274,0.0096,0.05,0.55,0.4528,0.7323,0.5305,1.2520,2.36,3.97,0.0209,0.0338,0.0797,0.0262,1.41,0.0774,1
Phillips 66 Partners LLP,2018-09,39.74,1.00,0.0177,0.0002,0.05,0.57,0.4792,0.8189,0.5178,1.1961,2.31,4.54,0.0225,0.0385,0.0888,0.0278,1.45,0.0873,1
 Woodward Inc,2014-09,55.21,2.97,0.0481,0.2789,0.24,0.30,0.1407,0.0914,0.2962,0.6116,2.06,17.35,0.0332,0.0216,0.0445,0.0414,0.82,0.1186,1
 Woodward Inc,2014-12,55.40,3.03,0.0248,0.2619,0.21,0.30,0.1280,0.0898,0.2973,0.6022,2.03,10.50,0.0265,0.0186,0.0377,0.0344,0.81,0.0541,1
 Woodward Inc,2015-03,51.26,2.61,0.0328,0.2438,0.20,0.28,0.1249,0.0889,0.2893,0.5964,2.06,11.56,0.0250,0.0178,0.0367,0.0326,1.35,0.1188,1
 Woodward Inc,2015-06,50.00,3.08,0.0348,0.2606,0.20,0.29,0.1279,0.0884,0.3496,0.7790,2.23,10.42,0.0252,0.0174,0.0388,0.0326,0.55,0.0510,1
 Woodward Inc,2015-09,51.54,2.80,0.0324,0.2399,0.22,0.28,0.1360,0.0890,0.3356,0.7392,2.20,10.19,0.0301,0.0197,0.0434,0.0378,1.25,0.1409,1
 Woodward Inc,2015-12,49.73,2.38,0.0336,0.2093,0.18,0.25,0.0728,0.0580,0.3525,0.7760,2.20,4.69,0.0129,0.0103,0.0226,0.0197,1.13,0.0421,1
 Woodward Inc,2016-03,51.98,1.86,0.0330,0.1607,0.19,0.28,0.1204,0.0852,0.2791,0.6408,2.30,9.26,0.0225,0.0159,0.0365,0.0285,4.90,0.4523,1
 Woodward Inc,2016-06,50.05,2.10,0.0446,0.1885,0.19,0.27,0.1255,0.1006,0.2967,0.6776,2.28,9.77,0.0241,0.0193,0.0441,0.0306,0.03,0.0010,1
 Woodward Inc,2016-09,51.58,1.97,0.0307,0.1755,0.22,0.27,0.1440,0.1069,0.2752,0.5997,2.18,11.96,0.0322,0.0239,0.0521,0.0394,1.55,0.1003,1
 Woodward Inc,2016-12,51.36,2.12,0.0314,0.1818,0.17,0.26,0.1104,0.1051,0.2794,0.5889,2.11,7.15,0.0190,0.0181,0.0381,0.0263,2.49,0.0727,1
 Woodward Inc,2017-03,46.99,2.16,0.0303,0.1877,0.19,0.27,0.1104,0.0762,0.2671,0.5549,2.08,8.14,0.0212,0.0146,0.0304,0.0289,3.53,0.1115,1
 Woodward Inc,2017-06,48.69,2.21,0.0332,0.1972,0.20,0.28,0.1361,0.0977,0.2579,0.5283,2.05,11.03,0.0279,0.0200,0.0410,0.0355,2.44,0.0779,1
 Woodward Inc,2017-09,53.98,2.39,0.0318,0.2154,0.22,0.28,0.1493,0.1026,0.2223,0.4469,2.01,12.89,0.0329,0.0226,0.0454,0.0406,4.54,0.2019,1
 Woodward Inc,2017-12,52.00,2.77,0.0315,0.2298,0.17,0.26,0.0900,0.0388,0.2384,0.4638,1.95,6.27,0.0155,0.0067,0.0130,0.0233,-0.09,-0.0039,1
 Woodward Inc,2018-03,52.92,2.92,0.0359,0.2431,0.20,0.27,0.1282,0.0702,0.2263,0.4327,1.91,10.51,0.0252,0.0138,0.0264,0.0331,1.97,0.0940,1
 Woodward Inc,2018-06,54.91,2.11,0.0284,0.1570,0.15,0.27,0.1125,0.0835,0.3563,0.9245,2.59,8.40,0.0174,0.0129,0.0335,0.0250,3.39,0.0777,1
Buckeye Partners LP,2014-09,24.64,1.52,0.0008,0.0443,0.19,0.14,0.0947,0.0654,0.4555,1.0384,2.28,3.40,0.0176,0.0122,0.0278,0.0227,1.61,0.0417,1
Buckeye Partners LP,2014-12,20.69,1.02,0.0010,0.0013,0.15,0.15,0.0826,0.0454,0.4396,0.9601,2.18,2.33,0.0127,0.0070,0.0153,0.0204,2.44,0.1174,1
Buckeye Partners LP,2015-03,23.75,1.00,0.0003,-0.0003,0.14,0.21,0.1395,0.1026,0.4454,0.9757,2.19,3.64,0.0189,0.0139,0.0304,0.0252,1.77,0.0663,1
Buckeye Partners LP,2015-06,26.70,0.98,0.0010,-0.0015,0.10,0.26,0.1644,0.1149,0.4585,1.0299,2.25,3.12,0.0159,0.0111,0.0249,0.0223,0.33,0.0143,1
Buckeye Partners LP,2015-09,30.73,0.96,0.0009,-0.0029,0.09,0.30,0.1971,0.1373,0.4542,1.0218,2.25,3.31,0.0172,0.0120,0.0270,0.0235,1.69,0.0558,1
Buckeye Partners LP,2015-12,24.78,1.09,0.0006,0.0056,0.10,0.31,0.2115,0.1595,0.4593,1.0292,2.24,4.02,0.0212,0.0160,0.0359,0.0297,1.29,0.0540,1
Buckeye Partners LP,2016-03,30.57,0.99,0.0007,-0.0009,0.09,0.34,0.2309,0.1680,0.4596,1.0265,2.23,3.77,0.0215,0.0156,0.0349,0.0290,1.83,0.0535,1
Buckeye Partners LP,2016-06,28.07,1.05,0.0017,0.0030,0.09,0.35,0.2444,0.1807,0.4614,1.0311,2.23,3.97,0.0224,0.0165,0.0370,0.0300,1.48,0.0423,1
Buckeye Partners LP,2016-12,24.87,3.30,0.0680,0.0976,0.10,0.26,0.1643,0.1165,0.4477,0.9560,2.14,2.99,0.0161,0.0114,0.0244,0.0236,1.58,0.0399,1
Buckeye Partners LP,2017-03,21.34,1.11,0.0005,0.0058,0.10,0.37,0.1780,0.2550,0.4884,1.1022,2.26,3.09,0.0175,0.0250,0.0565,0.0241,1.97,0.0401,1
Buckeye Partners LP,2017-06,24.41,1.07,0.0002,0.0038,0.08,0.52,0.2108,0.2783,0.4865,1.0975,2.26,3.03,0.0173,0.0228,0.0515,0.0238,2.43,0.0506,1
Buckeye Partners LP,2017-09,22.88,1.10,0.0008,0.0049,0.09,0.45,0.1824,0.1259,0.4726,1.0321,2.18,2.98,0.0166,0.0115,0.0251,0.0231,2.49,0.0525,1
Buckeye Partners LP,2017-12,28.13,0.96,0.0002,-0.0028,0.09,-0.23,0.1771,0.1335,0.4765,1.0696,2.24,2.95,0.0163,0.0123,0.0275,0.0234,1.57,0.0410,1
Buckeye Partners LP,2018-03,21.85,1.17,0.0006,0.0072,0.12,0.28,0.1433,0.1900,0.4604,0.9778,2.12,2.87,0.0166,0.0220,0.0467,0.0229,2.18,0.0502,1
Buckeye Partners LP,2018-06,22.03,1.01,0.0002,0.0004,0.09,0.41,0.1549,0.1954,0.4925,1.0588,2.15,2.45,0.0142,0.0179,0.0385,0.0207,1.48,0.0386,1
Enbridge Energy Partners LP,2014-09,11.94,0.52,0.0175,-0.0486,0.11,0.31,0.1238,0.0106,0.3837,1.2653,3.30,3.98,0.0142,0.0012,0.0040,0.0212,0.18,0.0203,0
Enbridge Energy Partners LP,2014-12,15.11,0.50,0.0112,-0.0541,0.12,0.41,0.2176,0.1033,0.3761,1.3036,3.47,5.01,0.0254,0.0121,0.0418,0.0324,0.37,0.0487,0
Enbridge Energy Partners LP,2015-03,12.76,0.50,0.0156,-0.0433,0.08,0.41,0.1677,0.0981,0.3874,1.2442,3.21,2.66,0.0133,0.0078,0.0249,0.0204,0.83,0.0544,0
Enbridge Energy Partners LP,2015-06,14.10,0.42,0.0061,-0.0489,0.07,0.45,-0.0073,-0.0739,0.3897,1.2957,3.32,-0.11,-0.0005,-0.0054,-0.0179,0.0067,0.50,0.0379,0
Enbridge Energy Partners LP,2015-09,8.79,0.35,0.0060,-0.0566,0.07,0.53,0.2010,0.0648,0.3895,1.3903,3.57,3.27,0.0138,0.0045,0.0159,0.0213,0.73,0.0568,0
Enbridge Energy Partners LP,2016-03,12.84,0.34,0.0074,-0.0492,0.06,0.59,0.2524,0.0976,0.4407,1.7450,3.96,3.46,0.0142,0.0055,0.0218,0.0223,0.68,0.0321,0
Enbridge Energy Partners LP,2016-06,23.96,0.39,0.0070,-0.0430,0.03,0.80,0.5191,0.1729,0.4501,1.8580,4.13,2.86,0.0171,0.0057,0.0234,0.0210,1.13,0.0329,0
Enbridge Energy Partners LP,2016-12,16.13,0.36,0.0056,-0.0387,0.03,0.90,0.4937,0.1661,0.4316,1.9653,4.55,3.46,0.0172,0.0058,0.0263,0.0239,2.45,0.0582,0
Enbridge Energy Partners LP,2017-03,27.58,0.15,0.0054,-0.1252,0.03,0.82,0.4430,0.1471,0.4404,2.2023,5.00,2.98,0.0138,0.0046,0.0230,0.0195,1.73,0.0274,0
Enbridge Energy Partners LP,2017-06,38.69,0.43,0.0084,-0.0382,0.04,0.81,0.4547,0.1779,0.4977,4.2062,8.45,2.74,0.0185,0.0072,0.0611,0.0258,-2.02,-0.0260,0
Enbridge Energy Partners LP,2017-09,37.07,0.31,0.0019,-0.0478,0.04,0.69,0.4416,0.1510,0.4909,4.0824,8.32,3.02,0.0185,0.0063,0.0525,0.0261,1.82,0.0475,0
Enbridge Energy Partners LP,2017-12,39.92,0.35,0.0024,-0.0408,0.04,1.45,0.3863,-0.0098,0.5042,4.2237,8.38,2.62,0.0159,-0.0004,-0.0034,0.0235,0.60,0.0150,0
Enbridge Energy Partners LP,2018-03,40.29,0.21,0.0015,-0.0772,0.04,0.81,0.4865,0.1250,0.5006,4.3150,8.62,3.20,0.0193,0.0050,0.0428,0.0267,1.79,0.0432,0
Enbridge Energy Partners LP,2018-06,41.90,0.28,0.0006,-0.0495,0.04,0.84,0.4786,0.1769,0.5044,4.4018,8.73,2.47,0.0173,0.0064,0.0559,0.0247,1.92,0.0393,0
Enbridge Energy Partners LP,2018-09,39.70,0.27,0.0010,-0.0508,0.04,0.65,0.4500,0.1857,0.5001,4.4447,8.89,2.80,0.0169,0.0070,0.0618,0.0243,2.40,0.0431,0
PBF Energy Inc,2014-09,11.95,1.65,0.0812,0.2010,0.89,0.11,0.0540,0.0268,0.1968,0.7052,3.58,28.41,0.0483,0.0240,0.0860,0.0603,1.40,0.1616,1
PBF Energy Inc,2015-03,13.26,1.66,0.0873,0.1768,0.58,0.16,0.0576,0.0292,0.2445,0.9518,3.89,17.24,0.0335,0.0170,0.0660,0.0432,1.29,0.1052,1
PBF Energy Inc,2015-06,13.69,1.71,0.1125,0.2008,0.64,0.16,0.0771,0.0382,0.2456,0.9528,3.88,27.38,0.0494,0.0245,0.0950,0.0586,1.52,0.1360,1
PBF Energy Inc,2015-09,11.07,2.10,0.0926,0.2367,0.63,0.12,0.0280,0.0133,0.2704,0.9533,3.52,9.01,0.0176,0.0084,0.0295,0.0276,-1.19,-0.0560,1
PBF Energy Inc,2016-03,17.40,1.86,0.1197,0.2261,0.45,0.14,-0.0019,-0.0105,0.2929,1.1374,3.88,-0.36,-0.0009,-0.0048,-0.0185,0.0086,-0.48,-0.0114,1
PBF Energy Inc,2016-06,15.11,2.07,0.2022,0.2906,0.55,0.16,0.0617,0.0268,0.3383,1.3985,4.13,11.90,0.0341,0.0148,0.0613,0.0418,3.45,0.1002,1
PBF Energy Inc,2016-09,13.03,1.73,0.0838,0.2008,0.60,0.04,0.0305,0.0093,0.3174,1.3618,4.29,6.57,0.0185,0.0056,0.0242,0.0263,2.08,0.0726,1
PBF Energy Inc,2016-12,11.75,1.66,0.0979,0.1772,0.62,0.04,0.0294,0.0115,0.2818,1.0608,3.76,7.36,0.0183,0.0072,0.0269,0.0265,2.53,0.1228,1
